Original_Japanese,Translated_English
取り調べ室とは名ばかりの地下牢から、わたしの部屋に戻った。疲労が体の隅々までこびりついているようだ‥‥‥,"I returned to my room from the interrogation room, a name    that barely fit that underground dungeon. Fatigue seemed to  cling to every inch of my body..."
情報部のわたしの部屋に戻った。囚人は尋問室の中だ、一刻も早く尋問を始めるべきだろう。また逃げられる事も有り得るのだから。,"I returned to my room in the Intelligence Division. The      prisoner was in the interrogation room, so I should start    interrogating her soonest possible. She might escape again."
情報部内の、わたしの部屋に戻った。しばらくの間は、この部屋と街を行き来する事になるだろう。,"I returned to my room in the Intelligence Division. For a    while, I would be going back and forth between this room and the city."
情報部内の、わたしの部屋に戻った。しばらくの間は、この部屋と街を行き来する事になるだろう。,"I returned to my room in the Intelligence Division. For a    while, I'll be going back and forth between this room and thecity."
全ての囚人を逮捕し、尋問にかけるまでは他の何処に行く事も出来ない、そんな事をすれば、わたしの方が追われる身になるだろう。,"Until all prisoners are arrested and interrogated, I can't goanywhere else. If I did, I'd be the one being hunted."
軍部が相手とあっては、わたしのような小者は不満を言う事さえ許されないはずだ。さて、これからどうしたものか‥‥‥‥‥‥,"When dealing with the military, a small fry like me shouldn'teven be allowed to complain. Now, what should I do next..."
　セーブ　,   Save   
 　移動　 ,  Travel  
　ファイル１　,    File 1    
　ファイル２　,    File 2    
　ファイル３　,    File 3    
　ファイル４　,    File 4    
　ファイル５　,    File 5    
セーブしました,Successfully saved to File 1.
セーブしました,Successfully saved to File 2.
セーブしました,Successfully saved to File 3.
セーブしました,Successfully saved to File 4.
セーブしました,Successfully saved to File 5.
　アンナのオフィス　,   Anna's Office   
　　アンナの部屋　　,    Anna's Room    
　　　外に出る　　　,      Outside      
わたしの部屋は、情報部における典型的な部員のそれとは多少異なる所がある。,My room differs somewhat from the typical office of an       Intelligence Division member.
大抵の情報部員にとって必要不可欠な机と椅子は、わたしには場所ふさぎの邪魔者にすぎない。,The desk and chair essential to most Intelligence Division   members are nothing but space-wasting nuisances to me.
机の上の端末とて同じ事。どうせモニターされているに決まっているのだ。使うのは敵に情報をくれてやるのと同じ事。,The terminal on the desk is the same. It's bound to be       monitored anyway. Using it is like handing information to theenemy.
部屋と同じくらい古びた机と椅子が置かれている。わたし自身はほとんど使う事がないが、体裁を保つ為にあるんだろう。,"An old desk and chair, as worn as the room itself, are placedthere. I hardly ever use them myself, they're probably just  for appearances."
わたしにはデスクワークは似合わないし、自分の仕事だとも思っていない。,"Desk work doesn't suit me, and I don't consider it my job."
わたしにはデスクワークは似合わないし、自分の仕事だとも思っていない。,"Desk work doesn't suit me, and I don't consider it my job."
拷問の時に使う、様々な道具が入っている。どれも囚人に最高の苦痛と屈辱を与える為に、わたし自身が選んだ物ばかりだ。,It contains various torture tools used during interrogations.Each one was personally selected by me to inflict the utmost pain and humiliation upon prisoners.
しかし肝心の囚人がいないからには、それらの道具を使う事も出来ない。お楽しみの時間の前に困難な任務を片付けなければ。,"However, without the prisoner present, I can't use them. I   must complete a difficult mission before the fun begins."
そろそろ尋問を始めるとしよう。待ちに待ったお楽しみの時間だ。さて、尋問すべき囚人は‥‥‥‥‥‥,"It's about time to begin the interrogation. The long-awaited fun time. Now, the prisoner I'll be interrogating is..."
 　　エイプリル　　 ,    April     
　　　レイファ　　　,    Lei-Fa    
 　　キャンセル　　 ,    Cancel    
エイプリルを尋問するとしよう。彼女は元特殊部隊、一筋縄ではいかない相手だ。,"I'll interrogate April. She's a former special forces member,not someone to be taken lightly."
苦痛への耐性も身につけているだろう。徹底的に痛めつけて、誰が主人か理解させてやるか‥‥‥,She's likely developed a tolerance for pain. I'll thoroughly torture and make her understand who her master is...
エイプリルはもうたっぷり尋問した。これ以上やっても何も吐かないだろうし、廃人になってしまう。,"I've interrogated April thoroughly enough. Pushing her       further won't get anything out of her, and now she is already    become a broken shell."
レイファを尋問しよう。小生意気な中国女が苦痛に悲鳴をあげる姿を想像すると、体が熱く火照る‥‥‥,Let's interrogate Lei-Fa. My body burn hot just by Imagining that cheeky Chinese girl screaming in agony...
わたしをたっぷり楽しませてくれるだろうか‥‥‥レイファを恥辱で泣き叫ぶまで苛めてやろう。,I wonder if she Will give me plenty of pleasure... I will    torture Lei-Fa until she cries out in shame.
レイファはすでに尋問済だ。これ以上やっても、もう何も喋らないだろう。,Lei-Fa has already been interrogated. Pushing her further    won't get anything out of her.
窓の外は相変わらずの曇天で、今にも雨が降り出しそうな気配だ。湿った空気が部屋の中まで入り込んで来る。,"The sky is still cloudy outside the window, and it looks likeit might start raining at any moment. The humid air is       seeping into the room."
眼下に広がる公園に人の気配はなく、冬枯れした芝がひどく物悲しい雰囲気。気分が滅入る嫌な光景だ‥‥‥,"Below, the park showed no signs of life. The winter-withered grass created a deeply melancholy atmosphere. A depressing   sight that dampened the mood..."
窓の外は、小さな公園になっている。この情報部オフィスのある一画は本当の都心部。土地の無駄遣いは批判の的になっている。,Outside the window is a small park. The area where the Intelligence Division office stood is right in the city center. Thewasteful use of land has come under criticism.
元々この辺りは軍の駐屯地だったらしい。市ヶ谷に大規模な基地が出来るまでは、帝都の治安を守る任を負っていた。,"Apparently, this area was originally a military garrison.    Until a large base was built in Ichigaya, it was responsible for maintaining order in the imperial capital."
この辺りの地面を掘り返してみれば、不発弾の１、２発や人の死骸くらいは出て来そうだな‥‥‥,"If we dig up the ground around here, we'll probably find an  unexploded bomb or two, or maybe even a human corpse..."
窓の外は相変わらずの曇天で、今にも雨が降り出しそうな気配だ。湿った空気が部屋の中まで入り込んで来る。,"The sky is still cloudy outside the window, and it looks likeit might start raining at any moment. The humid air is       seeping into the room."
まずはエイプリルを尋問してみよう。この事件全体を解く鍵がみつかるかもしれない。,I'll interrogate April first. She might hold the key to      solving this entire case.
それが無理でも、レイファを逮捕するためのヒントか、第３の囚人を発見する手がかりを得られればいい。,"Even if that fails, I need to find a clue to arrest Lei-Fa ordiscover the third prisoner."
エイプリルがわたしの拷問に耐えられたとは思いたくない。彼女は本当に何も知らなかったのか‥‥‥,I can't believe that April could have withstood my torture.  I wonder if she really didn't know anything...
ふたり目の囚人、レイファを逮捕した。彼女を尋問すれば、何か情報を得られるかもしれない。,"I've arrested the second prisoner, Lei-Fa. Interrogating her might yield some information."
ふたりの囚人は逮捕した。彼女達を尋問すれば、機密に関する情報を得られるだろう。,I've arrested both prisoners. Interrogating them should      reveal some classified information.
レイファを逮捕した。彼女を尋問すれば、事件全体を解く鍵がみつかるかもしれない。,I've arrested Lei-Fa. Interrogating her might uncover the keyto solving the entire case.
レイファがわたしの拷問に耐えられたとは思いたくない。彼女は本当に何も知らなかったのか‥‥‥,I can't believe that Reifa could have withstood my torture. I wonder if she really didn't know anything...
レイファは何も喋らなかった。エイプリルを何とかしなければならない。どんな事でもいい、何とかしないと‥‥‥,"Lei-Fa said nothing. I have to do something about April. No  matter what, I have to do something..."
まずはエイプリルかレイファを逮捕しなければならない。どちらも元特殊部隊だ。本当ならわたしのかなう相手ではない‥‥‥,"First, I must arrest either April or Lei-Fa. Both are former special forces. Normally, they're opponents I couldn't hope  to defeat..."
